engine,target_rate,actual_request_count,successful_count,slo_compliant_count,measurement_window,goodput_rps,raw_throughput_rps,output_tokens_per_sec,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,itl_jitter_p95_ms
vllm,1.0,32,32,31,28.342406084000686,1.0937674066246452,1.1290502261931823,287.4491310248705,15.325983499678841,23.692523700265156,60.312634960282665,4.089827188327536,4.5042629820581235,4.633100650338863,1055.7334024997544,1142.4281451001661,0.7898505092741428
friendli_modeled,1.0,32,32,31,28.051666033212314,1.1051037026926298,1.1407522092311015,290.42838276893076,6.453045683883829,9.975799452786305,25.394793667583173,3.0295016209825505,3.3364910978191435,3.4319264076574365,776.3986473637488,841.933466966384,0.5850744513141798
vllm,2.0,64,64,58,29.255765972999143,1.9825151750779524,2.1876029518101543,556.7449512356843,16.68019400040066,26.113822450952277,29.462005720597507,4.0928348818250555,4.427094997028675,4.561870852940332,1056.0085649995017,1125.0248704498517,1.0060372431874995
friendli_modeled,2.0,64,64,64,28.929314390841682,2.2122888615798253,2.2122888615798253,563.0275152720656,6.065525090889423,9.495935436734724,10.7134566257082,2.923453487015312,3.1622107121634935,3.2584791806716655,748.844008571723,799.0494247134848,0.7185980308482138
vllm,4.0,131,131,121,30.260828295000465,3.9985686716972975,4.329028892498727,1102.3492045494086,17.369652001434588,25.721629999679863,27.716776400302468,4.174453188234645,4.36228930687682,4.438204206394616,1076.82566999938,1125.5724804996134,1.0442408978754594
friendli_modeled,4.0,131,131,131,29.90758182423997,4.380160213883459,4.380160213883459,1115.3693466772856,4.962757715475163,7.349037143285386,7.919078971644918,2.7829687921564306,2.9081928712524023,2.9588028042654915,710.9230885707802,742.5504466200437,0.6961605985836397
vllm,8.0,244,244,228,30.555162630000268,7.461914137421104,7.985557234783989,2032.3570439461103,18.81098749981902,25.818490249366732,29.007818549507643,4.47117090500771,4.773650523333986,4.859992573512914,1156.5528449991689,1232.7031700509906,1.3351694631858155
friendli_modeled,8.0,244,244,244,30.119394695200754,8.101092417998665,8.101092417998665,2061.761221579094,3.7621975006914,5.163698049364029,5.801563710629124,2.630100532358336,2.8080297196074935,2.8588191608883626,672.8636331527014,716.9804061984905,0.7853938018740091
vllm,12.0,370,370,228,30.88735542500035,7.381661423025419,11.979011958418443,3049.1441790374297,20.076702500773536,24.952775050496715,32.40874700984935,4.871344490794172,5.608651796180976,5.701847473629274,1254.7796809994907,1444.0706728504665,2.1837283534748173
friendli_modeled,12.0,370,370,370,30.361806957758745,12.186362969594242,12.186362969594242,3101.9234175037454,3.088723461587506,3.8388884694541052,4.985961078564292,2.563865521468122,2.951921997989432,3.000972354540341,652.9886971384258,752.7227486511947,1.149330712355167
vllm,16.0,478,478,70,31.055348566998873,2.2540400681377593,15.391873608140697,3919.5824750571514,22.641177000878088,28.154324000206543,30.575478190439778,5.431925986533356,6.473401672749021,6.5836288357545945,1399.8937304995707,1667.9765991998465,1.3511810549180172
friendli_modeled,16.0,478,478,478,30.408983539307883,15.719039059037204,15.719039059037204,4002.8960469084614,2.8301471247687005,3.519290500025818,3.8219347742779095,2.586631422157728,3.0825722251182586,3.13506135035829,658.3062242298183,785.1291078224676,0.6434195499609605
vllm,24.0,702,702,0,31.19772368899976,0.0,22.501641690208427,5729.23209980935,33.64867150048667,45.23378430048979,50.89537983129049,8.33681561176562,10.85733893004367,11.28842557168301,2155.1204670004154,2787.75416735034,4.129434622755888
friendli_modeled,24.0,702,702,702,30.33832342225469,23.13905057406856,23.13905057406856,5891.5252999407985,3.058970136407879,4.112162208639347,4.626852712754045,3.3347262447041075,4.342935572016258,4.515370228674631,850.8909604724977,1103.2133452910784,1.6517738491023548
